,Area,Major,Minor,Angle,Circ,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,9.566E-4,0.06,0.02,28.15,0.75,0.06,100.00,1531,11,33.69,0.03,2.70,0.37,0.67
2,0.15,1.46,0.13,110.80,0.12,1.60,100.00,1465,20,106.21,0.21,11.50,0.09,0.55
3,0.00,0.09,0.03,85.27,0.55,0.09,100.00,992,22,101.31,0.04,3.00,0.33,0.75
4,0.00,0.07,0.02,162.39,0.61,0.08,100.00,1469,62,153.43,0.03,3.09,0.32,0.67
5,6.378E-4,0.05,0.02,45.00,0.79,0.05,100.00,1481,98,45.00,0.03,2.65,0.38,0.67
6,0.00,0.08,0.03,85.69,0.65,0.09,100.00,431,123,101.31,0.04,2.42,0.41,0.82
7,0.01,0.23,0.05,16.70,0.18,0.29,100.00,368,130,10.62,0.08,4.53,0.22,0.50
8,0.06,0.47,0.17,127.93,0.13,0.78,99.49,1433,126,128.45,0.33,2.77,0.36,0.38
9,0.00,0.07,0.03,126.32,0.57,0.09,100.00,438,130,126.87,0.04,2.51,0.40,0.62
10,0.00,0.08,0.02,36.09,0.51,0.09,100.00,364,135,36.87,0.03,3.85,0.26,0.57
11,0.00,0.16,0.03,80.31,0.33,0.17,100.00,205,142,71.57,0.04,6.04,0.17,0.61
12,0.00,0.10,0.03,112.73,0.48,0.10,100.00,591,160,120.96,0.04,3.82,0.26,0.63
13,0.02,0.34,0.06,178.31,0.30,0.36,100.00,7,189,168.69,0.07,5.82,0.17,0.71
14,0.00,0.10,0.05,16.70,0.62,0.11,100.00,12,218,18.43,0.06,2.14,0.47,0.65
15,9.566E-4,0.06,0.02,118.15,0.64,0.06,100.00,735,226,123.69,0.03,2.70,0.37,0.67
16,0.00,0.10,0.03,99.67,0.42,0.11,100.00,1447,226,108.43,0.04,3.51,0.28,0.70
17,0.01,0.14,0.05,67.21,0.51,0.15,100.00,1445,241,69.44,0.07,2.83,0.35,0.65
18,0.00,0.10,0.02,0.00,0.60,0.09,100.00,460,268,168.69,0.02,5.00,0.20,1.00
19,0.00,0.07,0.06,118.03,0.41,0.10,100.00,470,269,135.00,0.09,1.23,0.81,0.54
20,0.03,0.58,0.07,96.00,0.17,0.65,100.00,298,279,104.42,0.13,8.41,0.12,0.51
21,0.00,0.06,0.05,161.57,0.90,0.08,100.00,467,279,153.43,0.05,1.33,0.75,0.74
22,0.02,0.42,0.06,176.03,0.19,0.50,96.97,460,287,4.09,0.10,6.60,0.15,0.52
23,0.00,0.08,0.02,90.00,0.64,0.07,100.00,694,290,104.04,0.02,4.00,0.25,1.00
24,6.378E-4,0.05,0.02,135.00,0.79,0.05,100.00,305,293,135.00,0.03,2.65,0.38,0.67
25,9.566E-4,0.06,0.02,90.00,0.81,0.06,100.00,695,296,108.43,0.02,3.00,0.33,1.00
26,0.00,0.10,0.04,155.93,0.52,0.12,100.00,675,300,153.43,0.05,2.65,0.38,0.58
27,0.01,0.29,0.05,81.15,0.25,0.33,100.00,691,318,74.48,0.09,5.45,0.18,0.58
28,0.01,0.20,0.04,92.27,0.13,0.34,100.00,316,315,98.97,0.09,4.44,0.23,0.31
29,0.00,0.10,0.04,132.03,0.64,0.11,100.00,180,364,128.66,0.05,2.80,0.36,0.67
30,0.00,0.10,0.02,90.00,0.54,0.09,100.00,1283,385,101.31,0.02,5.00,0.20,1.00
